TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
code	title	core	credits	category	proposingfaculty	curriculum	prereq
EE2070	Digital Systems	['ug']	3-0-2-4	PMC	Subramanyan Mula	2017	
CS5510	Compiler Optimizations and Program Analysis		3-0-0-3	ERC	Unnikrishnan C		['CS3300']
CS5001	Topics in Machine Learning		3-0-0-3	ERC			
CS2800	Data Structures and Algorithms		3-1-0-4	PMT			
DS2020	Introduction to Artificial Intelligence	['ug']	3-0-2-4	PMC	Narayanan C Krishnan	2022	
CS6601	Advanced Computational Complexity		3-0-0-3	PME	Krishnamoorthy Dinesh		
DS3040	Deep Learning		3-0-3-5	PME	Mrinal Kanti Das		
CS5017	Theory of Computation	['mcam']	3-1-0-4	PMT	Deepak Rajendraprasad	2020	
CS5628	Runtime Verification		3-0-0-3	PME	Sandeep Chandran		
CS4501	Game Theory		3-0-0-3	PME			
CS4505	Advanced Computer Architecture		3-0-0-3	PME			
CS4011	Artificial Intelligence		3-0-0-3	PMT			
CS5617	Software Engineering		1-0-3-3	PME	Jasine Babu & Sandeep Chandran		
CS5820	Probability and Computing		3-0-0-3	PME	Jasine Babu & Krithika Ramaswamy		
MA5001	Linear Algebra	['mcam']	4-0-0-4	PST	Lakshmi Sankar	2020	
CS4803	Model Checking		3-1-0-4	PME/PME*			
CS5009	Algorithms	['mcam']	3-1-0-4	PMT	Jasine Babu & Krithika Ramaswamy	2020	
CS3120	Database Management System Lab	['ug']	0-0-2-2	PMP		2017	
CS5615	Coding Theory		3-0-0-3	PME	Jasine Babu		Linear Algebra
CS3160	Computer Architecture Lab	['ug']	0-0-3-2	PMC	Vivek Chaturvedi	2022	
CS5004	Approximation Algorithms		3-0-0-3	PME	Jasine Babu		A first course in the design and analysis of algorithms
CS2080	Artificial Intelligence	['ug']	3-0-0-3	PMT	Dr. Mrinal Kanti Das	2017	
CS3050	Theory of Computation	['ug']	3-1-0-4	PMC	Deepak Rajendraprasad	[2017, 2022]	
CS4120	Project II	['ug']	0-0-0-7	PMP		2017	
CS3030	Paradigms of Programming	['ug']	3-0-0-3	PMT		2017	
CS5634	Computational Algebra and Number Theory		3-0-0-3	PME	Piyush P Kurur		
CS5016	Computational Methods and Applications	['mcam']	2-0-3-4	PMT	Albert Sunny	2020	Familiarity with coding, calculus, probability and linear algebra
CS4804	Convex Optimization		3-0-0-3	PME/PME*/GCE			
CS3500	Operating Systems		3-0-0-3	PMT			['CS2600', 'CS2610', 'CS2800']
CS2030	Data Structures and Algorithms	['ug']	3-0-0-3	PMC	Jasine Babu & Krithika Ramaswamy	[2017, 2022]	
CS2160	Computer Organization Lab	['ug']	0-0-3-2	PMP		2017	
CS5614	Game Theory and Mechanism Design		3-0-0-3	PME	Albert Sunny		Basic knowledge of calculus and probability
HS2000	Professional Ethics	['ug']	0-0-2-2	IDC		2017	
DS5603	Information Retrieval		3-0-0-3	PME	Koninika Pal & Mrinal Kanti Das		
CS6002	Combinatorial Optimization		3-0-0-3	PME	Jasine Babu & Krithika Ramaswamy		Basic knowledge of Linear Algebra and Algorithms
CS5005	Parallel Programming		3-0-0-3	PME	Sandeep Chandran		
CS3130	Paradigms of Programming Lab	['ug']	2-0-0-2	PMP		2017	
CS2180	Artificial Intelligence Lab	['ug']	0-0-2-2	PMP	Dr. Mrinal Kanti Das	2017	
CS5627	Proofs Programs and Types		3-0-0-3	PME	Piyush P Kurur		
CS4801	Principles of Machine Learning		3-0-0-3	PME			
CS2011	Foundations of Computing Systems	['ug']	3-0-0-3	PMC	Piyush P Kurur & Sandeep Chandran	2022	
CS2040	Design and Analysis of Algorithms	['ug']	3-1-0-4	PMT	Jasine Babu	2017	['CS2800']
CS5119	Advanced Computer Architecture Lab	['msocd']	0-0-3-2	PML		2020	
CS2010	Logic for Computing	['ug']	3-0-0-3	PMT	Deepak Rajendraprasad	2017	['CS2100']
CS5638	Quantum Computing		3-0-0-3	PME	Srimanta Bhattacharya and Krishnamoorthy Dinesh		
CS1020	Introduction to Programming	['ug']	2-0-3-4	BET		2017	
CS4410	Software Engineering Lab		3-0-0-3	PMT			
CS4602	Convex Optimization	['ug']		PME		2015	
CS2020A	Discrete Mathematics	['ug']	3-1-0-4	PMC	Krishnamoorthy Dinesh & Deepak Rajendraprasad	2022	['CS2100']
CS5120	SoC Design Lab	['msocd']	1-0-3-3	PMP		2020	
CS3060	Computer Architecture	['ug']	3-0-0-3	PMC	Vivek Chaturvedi	2022	
CS4507	Theory and Practise of Data Science	['ug']		PME		2015	
EE5011	VLSI Design	['msocd']	3-0-2-4	PMT	Subrahmanyam Mula	2020	
CS6003	Probabilistic Method		3-0-0-3	PME	Jasine Babu & Krithika Ramaswamy		Basic knowledge of Discrete Mathematics and Probability
CS5512	Machine Learning		3-0-3-5	PME	Sahely Bhadra		
CS5013	Topics in Discrete Mathematics	['mcam']	3-0-0-3	PMT	Jasine Babu	2020	
CS3310	Language Translators Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum	2015	
CS5625	Software Product Management		3-0-0-3	GCE	Haragopal Mangipudi		
CS5103	Data Engineering Lab		0-0-3-2	PMP			
EE2170	Digital Circuits Lab	['ug']	0-0-2-2	PMP		2017	
CS5626	PreSilicon Design Verification using Formal Property Verification		3-0-0-3	PME	Sandeep Chandran & M Achutha Kirankumar V		
CS5012	AI for Cyber Security		3-0-0-3	PME	Vivek Chaturvedi		
CS3110	Operating Systems Lab	['ug']	0-0-3-3	PMC	Sandeep Chandran	[2017, 2022]	
CS2130	Data Structures and Algorithms Lab	['ug']	0-0-3-2	PMC	Jasine Babu &Krithika Ramaswamy	[2017, 2022]	
CS5003	Parameterized Algorithms		3-0-0-3	PME	Krithika Ramaswamy		A first course in the design and analysis of algorithms
CS5613	Cryptography		3-0-0-3	PME	Satyajit Das		
CS2810	Data Structures and Algorithms lab	['ug']	2-0-3-4	PMT	IIT Madras 2015 Curriculum	2015	
CS3710	Database Systems Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum	2015	
CS2110	Computer Programming Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum		
CS1100	Computational Engineering	['ug']	2-0-3-4	BET	IIT Madras 2015 Curriculum	2015	
CS6005	Instructional Design and Technologies		3-0-0-3	ERC	Sandeep Chandran		
CS5008	Reinforcement Learning		3-0-0-3	ERC	Chandra Sekhar Lakshminarayanan		
CS4400	Software Engineering		3-0-0-3	PMT			
EE5009	Nanoelectronics for Circuits and Systems	['msocd']	3-0-0-3	PMT	Revathy Padmanabhan	2020	
CS2013	Systems Programming	['ug']	1-0-3-3	PMC	Piyush P Kurur, Sandeep Chandran & Albert Sunny	2022	
CS5511	Probability Models		3-0-0-3	ERC	Mrinal Kanti Das		
CS3700	Introduction to Database Systems		3-0-0-3	PMT			['CS1100']
CS4502	Convex Optimization	['ug']		PME			
MA2040	Probability Stochastic Process and Statistics	['ug']	3-0-0-3	BST	S.H. Kulkarni, M Ashok Kumar, Arpan Kabiraj	[2017, 2022]	
CS5006	Probabilistic Machine Learning		3-0-0-3	PME	Mrinal Kanti Das		
CS3020	Database Management Systems	['ug']	3-0-0-3	PMT		2017	
CS5509	Embedded Systems Design		1-0-3-3	ERC	Dr. Vivek Chaturvedi		
DS5604	Responsible Artificial Intelligence		3-0-0-3	ERC	Sahely Bhadra		
DS5602	Computer Vision		3-1-0-4	PME	Satyajit Das		
CS3510	Operating Systems Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum	2015	
DS5005	Optimisation		3-0-0-3	PMT			
CS5002	Functional Programming		3-0-0-3	ERC	Piyush P. Kurur		
CS3140	Compiler Design Laboratory	['ug']	0-0-3-2	PMP	Piyush P Kurur & Unnikrishnan C	[2017, 2022]	
DS5102	Big Data Lab		1-0-3-3	PMP			
CS5014	Foundations of Data Science and Machine Learning	['mcam']	3-0-0-3	PMT	Albert Sunny	2020	Probability and Linear Algebra
CS3100	Internship	['ug']	0-0-0-0	CWC		2017	
CS5639	Topics in Networks		1-0-3-3	PME	Anish Hirwe		
CS5633	Model Checking		3-0-2-4	PME	Jasine Babu		
CS4150	Computer Networks Lab	['ug']	3-0-0-3	PMP		2017	
CS4111	Artificial Intelligence Laboratory	['ug']		PML	IIT Madras 2015 Curriculum	2015	
CS4503	Combinatorics		3-0-0-3	PME			['cs2100']
CS5015	Data Engineering		3-0-0-3	PMT			
CS3010	Operating Systems	['ug']	3-0-0-3	PMT	Sandeep Chandran	[2017, 2022]	['CS2600', 'CS2610', 'CS2800']
CS5616	Computational Complexity		3-0-0-3	PME	Jasine Babu		Basic understanding of algorithms
CS5618	Real Time Systems		3-0-0-3	PME	Unnikrishnan C		
CS5010	Graph Theory and Combinatorics	['mcam']	3-0-0-3	PMT	Deepak Rajendraprasad	2020	
CS6004	Logic		3-0-0-3	PME	Piyush P Kurur		
CS2600	Computer Organisation	['ug']		PMT	IIT Madras 2015 Curriculum		
CS2100	Discrete Mathematics for Computer Science		3-0-0-3	PMT			
CS4802	Design and Analysis of Algorithms		3-1-0-4	PME/PME*			['CS2100', 'CS2800']
CS3200	Computer Networks		3-0-0-3	PMT			
GN5000	Communication and Technical Writing Skills	['mcam', 'msocd']	2-0-0-0	IDC	Dr. Reenu Punnoose	2020	
MA5007	Probability and Statistics	['mcam']	4-0-0-4	PST	M Ashok Kumar	2020	
CS3070	Design and Analysis of Algorithms	['ug']	3-1-0-4	PMC	Jasine Babu & Krithika Ramaswamy	2022	['CS2800']
CS5107	Programming Lab	['mcam', 'msocd']	1-0-3-3	PML		2020	
CS5019	Advanced Computer Architecture	['msocd']	3-0-0-3	PMT	Sandeep Chandran & Vivek Chaturvedi	2020	
CS5101	Machine Learning Lab		0-0-3-2	PMP			
DS3010	Machine Learning		3-0-3-5	PME	Sahely Bhadra		
CS4110	Project I	['ug']	0-0-0-3	PMP		2017	
CS3040	Compiler Design	['ug']	3-0-0-3	PMP	Piyush P Kurur & Unnikrishnan C	[2017, 2022]	
CS2111	Foundations of Computing Systems Lab	['ug']	0-0-3-2	PMC	Piyush P Kurur & Sandeep Chandran	2022	
CS2020	Discrete Mathematics for Computer Science	['ug']	3-0-0-3	PMT	Deepak Rajendraprasad	2017	['CS2100']
CS2610	Computer Organisation Laboratory	['ug']		PMT	IIT Madras 2015 Curriculum		
CS6001	Topics in Graph Theory		3-0-0-3	PME	Jasine Babu & Deepak Rajendraprasad		
CS4010	Computer Networks	['ug']	3-0-0-3	PMT		2017	
CS5619	Synthesis of Digital Systems		3-0-0-3	PME	Sandeep Chandran		
ID1110	Introduction to Programming	['ug']	2-0-3-4	IC	Mrinal Kanti Das &Albert Sunny	2022	
CS2060	Computer Organisation	['ug']	3-0-0-3	PMT		2017	
CS2200	Languages, Machines and Computation		3-1-0-4	PMT			
CS3300	Language Translators	['ug']		PMT	IIT Madras 2015 Curriculum		
